,Happiness levels(City)
0,7.41
1,7.13
2,6.99
3,7.37
4,7.53
5,7.82
6,7.39
7,6.58
8,6.38
9,5.95
10,7.3
11,5.22
12,6.33
13,6.32
14,7.29
15,6.5
16,5.28
17,5.94
18,7.07
19,7.56
20,7.46
21,5.44
22,4.08
23,6.51
24,6.95
25,6.84
26,7.09
27,7.1
28,5.98
29,7.03
30,5.44
31,5.93
32,6.67
33,5.85
34,6.63
35,6.38
36,7.54
37,6.78
38,5.36
39,6.47
40,7.18
41,6.96
42,6.02
43,6.69
